english	zh	first_mention	keep_english	category	alternatives	notes
policy gradient	策略梯度	策略梯度（policy gradient）	no	method		稳定译法。
regularization	正则化	正则化（regularization）	no	method		稳定译法。
over-optimization	过度优化	过度优化（over-optimization）	no	method		稳定译法。
evaluation	评估	评估（evaluation）	no	eval		稳定译法。
benchmark	benchmark	benchmark	yes	eval	基准测试	具体 benchmark 名称不译。
synthetic data	合成数据	合成数据（synthetic data）	no	data		稳定译法。
distillation	蒸馏	蒸馏（distillation）	no	training		稳定译法。
tool use	工具使用	工具使用（tool use）	no	capability		稳定译法。
function calling	函数调用	函数调用（function calling）	no	capability		稳定译法。
character training	角色训练	角色训练（Character Training）	yes	product	性格训练	作为行业术语时可首现保留英文。
alignment	对齐	对齐（alignment）	no	alignment		AI alignment 译为 AI 对齐。
preference	偏好	偏好（preference）	no	alignment		稳定译法。
completion	补全	补全（completion）	no	lm	回复	聊天语境可译为回复；算法数据语境优先补全。
prompt	prompt	prompt	yes	lm	提示词	技术流程中常保留 prompt。
response	回复	回复（response）	no	lm		稳定译法。
sample	样本 / 采样	样本 / 采样（sample）	no	data		名词样本，动词采样。
dataset	数据集	数据集（dataset）	no	data		稳定译法。
distribution	分布	分布（distribution）	no	math		稳定译法。
loss	损失	损失（loss）	no	math		稳定译法。
objective	目标函数	目标函数（objective）	no	math	目标	优化语境用目标函数。
inference	推理	推理（inference）	no	serving		注意与 reasoning 区分。
reasoning	推理	推理（reasoning）	no	capability		与 inference 同译但语境不同。
training	训练	训练（training）	no	training		稳定译法。
deployment	部署	部署（deployment）	no	serving		稳定译法。
serving	服务化	服务化（serving）	no	serving		模型线上服务语境。
elicitation	引出 / 激发	elicitation	yes	concept	引出;激发	视上下文选择，理论名可保留英文。
calibration	校准	校准（calibration）	no	eval		稳定译法。
annotator	标注者	标注者（annotator）	no	data		稳定译法。
labeler	标注员	标注员（labeler）	no	data		稳定译法。
human feedback	人类反馈	人类反馈（human feedback）	no	data		稳定译法。
human preference	人类偏好	人类偏好（human preference）	no	data		稳定译法。
AI feedback	AI 反馈	AI 反馈（AI feedback）	yes	data		AI 保留英文。
scalable oversight	可扩展监督	可扩展监督（scalable oversight）	no	alignment		稳定译法。
reward hacking	奖励投机	奖励投机（reward hacking）	no	alignment	奖励黑客	若需要突出原术语，可首现中英对照。
specification gaming	规范钻空子	规范钻空子（specification gaming）	no	alignment		可首现保留英文。
hallucination	幻觉	幻觉（hallucination）	no	behavior		稳定译法。
reasoning model	推理模型	推理模型（reasoning model）	no	model		稳定译法。
verifier	验证器	验证器（verifier）	no	model		稳定译法。
generator	生成器	生成器（generator）	no	model		稳定译法。
classifier	分类器	分类器（classifier）	no	model		稳定译法。
ranking	排序	排序（ranking）	no	data		稳定译法。
ranking model	排序模型	排序模型（ranking model）	no	model		稳定译法。
pairwise comparison	成对比较	成对比较（pairwise comparison）	no	data		稳定译法。
pairwise preference	成对偏好	成对偏好（pairwise preference）	no	data		稳定译法。
Likert scale	Likert 量表	Likert 量表（Likert scale）	yes	data		人名保留。
fine-tune	微调	微调（fine-tune）	no	training		动词。
open model	开放模型	开放模型（open model）	no	model		稳定译法。
frontier model	前沿模型	前沿模型（frontier model）	no	model		稳定译法。
closed model	闭源模型	闭源模型（closed model）	no	model		稳定译法。
